index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
637,Uber,B02835,B02835,2021-01-01T17:45:39.000Z,2021-01-01T17:48:11.000Z,2021-01-01T17:50:12.000Z,2021-01-01T18:05:49.000Z,18,60,4.64,938,14.98,0.0,0.45,1.33,0.0,,0.0,14.78,N,N,"",N,N,17.0,2021.0,1.0,1.0,1,0.19999981,Bedford Park,Crotona Park East
109,Lyft,B02510,,2021-01-06T06:13:36.000Z,,2021-01-06T06:18:15.000Z,2021-01-06T06:28:42.000Z,65,232,2.468,627,9.45,0.0,0.28,0.84,2.75,,0.0,7.99,N,N,N,N,N,6.0,2021.0,1.0,6.0,1,1.46,Downtown Brooklyn/MetroTech,Two Bridges/Seward Park
739,Uber,B02867,B02867,2021-01-09T15:13:53.000Z,2021-01-09T15:15:28.000Z,2021-01-09T15:16:04.000Z,2021-01-09T15:30:32.000Z,246,24,4.73,868,14.79,0.0,0.46,1.36,2.75,,2.0,12.48,N,N,"",N,N,15.0,2021.0,1.0,9.0,1,4.3100014,West Chelsea/Hudson Yards,Bloomingdale
589,Uber,B02883,B02883,2021-01-22T18:40:32.000Z,2021-01-22T18:44:31.000Z,2021-01-22T18:44:53.000Z,2021-01-22T18:59:12.000Z,130,130,1.4,859,7.12,0.0,0.21,0.63,0.0,,0.0,8.74,N,N,"",N,N,18.0,2021.0,1.0,22.0,1,-1.6199999,Jamaica,Jamaica
600,Uber,B02872,B02872,2021-01-31T19:16:55.000Z,2021-01-31T19:19:29.000Z,2021-01-31T19:19:44.000Z,2021-01-31T19:28:06.000Z,197,216,1.89,502,9.97,0.0,0.3,0.88,0.0,,0.0,6.29,N,N,"",N,N,19.0,2021.0,1.0,31.0,1,3.6800003,Richmond Hill,South Ozone Park
569,Uber,B02887,B02887,2021-01-19T05:10:01.000Z,2021-01-19T05:10:18.000Z,2021-01-19T05:12:19.000Z,2021-01-19T05:23:29.000Z,22,228,3.43,671,14.48,0.0,0.43,1.29,0.0,,0.0,9.39,N,N,"",N,N,5.0,2021.0,1.0,19.0,1,5.089999,Bensonhurst West,Sunset Park West
716,Uber,B02883,B02883,2021-01-11T18:42:04.000Z,2021-01-11T18:44:38.000Z,2021-01-11T18:45:42.000Z,2021-01-11T18:54:46.000Z,75,75,1.28,544,6.33,0.0,0.19,0.56,0.0,,0.0,5.96,N,N,"",N,N,18.0,2021.0,1.0,11.0,1,0.3699999,East Harlem South,East Harlem South
17,Uber,B02512,B02512,2021-01-06T15:57:09.000Z,2021-01-06T15:58:44.000Z,2021-01-06T15:58:44.000Z,2021-01-06T16:09:50.000Z,218,130,2.43,666,13.12,0.0,0.39,1.16,0.0,,0.0,8.25,N,N,"",N,N,15.0,2021.0,1.0,6.0,1,4.87,Springfield Gardens North,Jamaica
971,Lyft,B02510,,2021-01-27T20:21:41.000Z,,2021-01-27T20:25:24.000Z,2021-01-27T20:46:18.000Z,246,255,7.266,1254,24.79,4.5,0.88,2.6,2.75,,0.0,18.56,N,N,N,N,N,20.0,2021.0,1.0,27.0,1,6.2300014,West Chelsea/Hudson Yards,Williamsburg (North Side)
104,Uber,B02682,B02682,2021-01-04T15:21:50.000Z,2021-01-04T15:24:18.000Z,2021-01-04T15:25:46.000Z,2021-01-04T15:36:43.000Z,243,74,3.2,657,11.26,0.0,0.34,1.0,0.0,,0.0,9.03,N,N,"",N,N,15.0,2021.0,1.0,4.0,1,2.2300005,Washington Heights North,East Harlem North
717,Uber,B02871,B02871,2021-01-28T06:12:01.000Z,2021-01-28T06:14:27.000Z,2021-01-28T06:16:27.000Z,2021-01-28T06:24:11.000Z,22,55,2.32,464,11.05,0.0,0.33,0.98,0.0,,0.0,6.44,N,N,"",N,N,6.0,2021.0,1.0,28.0,1,4.61,Bensonhurst West,Coney Island
102,Uber,B02764,B02764,2021-01-25T18:47:36.000Z,2021-01-25T18:49:55.000Z,2021-01-25T18:51:56.000Z,2021-01-25T19:09:52.000Z,159,74,2.82,1076,10.19,0.0,0.31,0.9,0.0,,0.0,12.12,N,N,"",N,N,18.0,2021.0,1.0,25.0,1,-1.9300003,Melrose South,East Harlem North
