index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
49,Uber,B02872,B02872,2021-01-29T10:06:39.000Z,2021-01-29T10:09:46.000Z,2021-01-29T10:09:46.000Z,2021-01-29T10:47:08.000Z,95,95,11.35,2242,35.47,0.0,1.06,3.15,0.0,,0.0,31.28,N,N,"",N,N,10.0,2021.0,1.0,29.0,1,4.1900005,Forest Hills,Forest Hills
10,Lyft,B02510,,2021-01-12T18:35:50.000Z,,2021-01-12T18:41:05.000Z,2021-01-12T19:15:07.000Z,186,265,15.076,2042,35.41,20.21,1.67,0.0,0.0,,0.0,38.31,N,N,N,N,N,18.0,2021.0,1.0,12.0,1,-2.9000015,Penn Station/Madison Sq West,
965,Uber,B02764,B02764,2021-01-04T23:20:50.000Z,2021-01-04T23:22:54.000Z,2021-01-04T23:24:54.000Z,2021-01-04T23:37:08.000Z,226,7,2.65,734,13.94,0.0,0.42,1.24,0.0,,0.0,9.07,N,N,"",N,N,23.0,2021.0,1.0,4.0,1,4.87,Sunnyside,Astoria
657,Uber,B02765,B02765,2021-01-15T23:26:29.000Z,2021-01-15T23:30:54.000Z,2021-01-15T23:30:54.000Z,2021-01-15T23:42:59.000Z,192,82,3.95,725,9.71,0.0,0.29,0.86,0.0,,1.0,10.43,N,N,"",N,N,23.0,2021.0,1.0,15.0,1,0.27999973,Queensboro Hill,Elmhurst
465,Lyft,B02510,,2021-01-23T18:35:34.000Z,,2021-01-23T18:37:51.000Z,2021-01-23T18:47:34.000Z,210,149,2.014,583,9.28,0.0,0.28,0.82,0.0,,0.0,7.12,N,N,N,N,N,18.0,2021.0,1.0,23.0,1,2.1599998,Sheepshead Bay,Madison
467,Lyft,B02510,,2021-01-01T03:14:22.000Z,,2021-01-01T03:30:10.000Z,2021-01-01T03:43:47.000Z,61,76,3.289,817,12.24,0.0,0.37,1.09,0.0,,0.0,10.49,N,N,N,N,N,3.0,2021.0,1.0,1.0,0,1.75,Crown Heights North,East New York
225,Uber,B02764,B02764,2021-01-29T23:41:28.000Z,2021-01-29T23:45:27.000Z,2021-01-29T23:47:27.000Z,2021-01-30T00:02:02.000Z,168,41,2.82,875,12.92,0.0,0.39,1.15,0.0,,0.0,10.43,N,N,"",N,N,23.0,2021.0,1.0,29.0,1,2.4899998,Mott Haven/Port Morris,Central Harlem
664,Uber,B02871,B02871,2021-01-18T14:07:37.000Z,2021-01-18T14:11:37.000Z,2021-01-18T14:13:38.000Z,2021-01-18T14:29:02.000Z,35,72,1.87,924,12.44,0.0,0.37,1.1,0.0,,0.0,9.79,N,N,"",N,N,14.0,2021.0,1.0,18.0,0,2.6499996,Brownsville,East Flatbush/Remsen Village
137,Uber,B02883,B02883,2021-01-19T15:39:01.000Z,2021-01-19T15:41:23.000Z,2021-01-19T15:41:42.000Z,2021-01-19T15:51:07.000Z,239,236,1.42,565,8.32,0.0,0.26,0.76,2.75,,0.0,6.3,N,N,"",N,N,15.0,2021.0,1.0,19.0,1,2.0199995,Upper West Side South,Upper East Side North
612,Uber,B02875,B02875,2021-01-30T16:21:24.000Z,2021-01-30T16:22:20.000Z,2021-01-30T16:22:42.000Z,2021-01-30T16:35:38.000Z,129,82,1.3,776,9.38,0.0,0.28,0.83,0.0,,0.0,7.93,N,N,"",N,N,16.0,2021.0,1.0,30.0,1,1.4500003,Jackson Heights,Elmhurst
382,Uber,B02889,B02889,2021-01-28T08:07:06.000Z,2021-01-28T08:08:54.000Z,2021-01-28T08:09:04.000Z,2021-01-28T08:31:06.000Z,181,14,7.15,1322,19.9,0.0,0.6,1.77,0.0,,0.0,18.95,N,N,"",N,N,8.0,2021.0,1.0,28.0,1,0.94999886,Park Slope,Bay Ridge
862,Uber,B02870,B02870,2021-01-21T01:23:10.000Z,2021-01-21T01:24:31.000Z,2021-01-21T01:25:52.000Z,2021-01-21T01:33:33.000Z,212,60,1.42,461,6.96,0.0,0.21,0.62,0.0,,0.0,5.43,N,N,"",N,N,1.0,2021.0,1.0,21.0,1,1.5300002,Soundview/Bruckner,Crotona Park East
398,Lyft,B02510,,2021-01-24T15:26:04.000Z,,2021-01-24T15:29:01.000Z,2021-01-24T15:50:04.000Z,42,43,3.263,1263,15.99,0.0,0.48,1.42,2.75,,0.0,14.2,N,N,N,N,N,15.0,2021.0,1.0,24.0,1,1.79,Central Harlem North,Central Park
83,Lyft,B02510,,2021-01-21T00:53:27.000Z,,2021-01-21T00:56:30.000Z,2021-01-21T01:02:13.000Z,75,74,0.912,343,7.17,0.0,0.22,0.64,0.0,,0.0,5.47,N,N,N,N,N,0.0,2021.0,1.0,21.0,1,1.7000003,East Harlem South,East Harlem North
264,Uber,B02884,B02884,2021-01-06T12:08:28.000Z,2021-01-06T12:12:14.000Z,2021-01-06T12:12:32.000Z,2021-01-06T12:21:33.000Z,69,159,1.95,541,9.04,0.0,0.27,0.8,0.0,,0.0,6.68,N,N,"",N,N,12.0,2021.0,1.0,6.0,1,2.3600001,East Concourse/Concourse Village,Melrose South
245,Uber,B02879,B02879,2021-01-23T11:04:12.000Z,2021-01-23T11:05:44.000Z,2021-01-23T11:06:31.000Z,2021-01-23T11:13:01.000Z,259,259,1.18,390,6.33,0.0,0.19,0.56,0.0,,0.0,5.4,N,N,"",N,N,11.0,2021.0,1.0,23.0,1,0.9299998,Woodlawn/Wakefield,Woodlawn/Wakefield
461,Uber,B02888,B02888,2021-01-14T23:40:39.000Z,2021-01-14T23:45:00.000Z,2021-01-14T23:45:22.000Z,2021-01-14T23:58:48.000Z,235,247,1.9,806,9.22,0.0,0.28,0.82,0.0,,0.0,8.83,N,N,"",N,N,23.0,2021.0,1.0,14.0,1,0.39000034,University Heights/Morris Heights,West Concourse
361,Lyft,B02510,,2021-01-03T17:07:56.000Z,,2021-01-03T17:20:36.000Z,2021-01-03T17:30:18.000Z,10,139,1.795,582,9.79,0.0,0.29,0.87,0.0,,0.0,7.86,N,N,N,N,Y,17.0,2021.0,1.0,3.0,0,1.9299998,Baisley Park,Laurelton
463,Uber,B02877,B02877,2021-01-02T18:17:50.000Z,2021-01-02T18:20:33.000Z,2021-01-02T18:21:23.000Z,2021-01-02T18:27:01.000Z,182,242,1.17,338,7.91,0.0,0.24,0.7,0.0,,0.0,7.09,N,N,"",N,N,18.0,2021.0,1.0,2.0,1,0.8199997,Parkchester,Van Nest/Morris Park
241,Uber,B02869,B02869,2021-01-05T12:34:50.000Z,2021-01-05T12:35:49.000Z,2021-01-05T12:37:50.000Z,2021-01-05T12:52:17.000Z,169,147,3.51,867,12.89,0.0,0.39,1.14,0.0,,0.0,11.14,N,N,"",N,N,12.0,2021.0,1.0,5.0,1,1.75,Mount Hope,Longwood
