index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
466,Uber,B02887,B02887,2021-01-28T10:33:54.000Z,2021-01-28T10:35:32.000Z,2021-01-28T10:37:14.000Z,2021-01-28T10:48:14.000Z,262,141,1.51,660,8.58,0.0,0.26,0.76,2.75,,0.0,7.19,N,N,"",N,N,10.0,2021.0,1.0,28.0,1,1.3899999,Yorkville East,Lenox Hill West
904,Uber,B02764,B02764,2021-01-23T00:13:16.000Z,2021-01-23T00:17:24.000Z,2021-01-23T00:17:41.000Z,2021-01-23T00:24:22.000Z,163,239,1.74,401,7.3,0.0,0.24,0.7,2.75,,3.0,5.39,N,N,"",N,N,0.0,2021.0,1.0,23.0,1,4.9100003,Midtown North,Upper West Side South
38,Lyft,B02510,,2021-01-10T20:49:20.000Z,,2021-01-10T20:52:24.000Z,2021-01-10T20:58:24.000Z,165,165,0.798,360,6.64,0.0,0.2,0.59,0.0,,0.0,5.47,N,N,N,N,N,20.0,2021.0,1.0,10.0,1,1.1700001,Midwood,Midwood
606,Uber,B02764,B02764,2021-01-16T16:10:55.000Z,2021-01-16T16:11:25.000Z,2021-01-16T16:11:54.000Z,2021-01-16T16:21:27.000Z,158,68,1.35,573,7.03,0.0,0.23,0.67,2.75,,0.0,6.28,N,N,"",N,N,16.0,2021.0,1.0,16.0,1,0.75,Meatpacking/West Village West,East Chelsea
319,Lyft,B02510,,2021-01-05T17:11:45.000Z,,2021-01-05T17:18:41.000Z,2021-01-05T17:50:49.000Z,62,62,3.636,1928,24.31,1.13,0.76,2.26,0.0,,0.0,20.18,N,N,N,N,N,17.0,2021.0,1.0,5.0,0,4.129999,Crown Heights South,Crown Heights South
392,Uber,B02879,B02879,2021-01-29T15:25:02.000Z,2021-01-29T15:28:51.000Z,2021-01-29T15:28:52.000Z,2021-01-29T15:39:10.000Z,137,186,1.22,618,8.32,0.0,0.27,0.79,2.75,,0.0,8.76,N,N,"",N,N,15.0,2021.0,1.0,29.0,1,-0.44000053,Kips Bay,Penn Station/Madison Sq West
298,Uber,B02875,B02875,2021-01-26T16:17:37.000Z,2021-01-26T16:18:20.000Z,2021-01-26T16:18:32.000Z,2021-01-26T16:34:25.000Z,231,33,2.16,953,13.24,0.0,0.4,1.18,2.75,,10.0,10.36,N,N,"",N,N,16.0,2021.0,1.0,26.0,1,12.88,TriBeCa/Civic Center,Brooklyn Heights
187,Uber,B02864,B02864,2021-01-23T13:59:54.000Z,2021-01-23T14:04:59.000Z,2021-01-23T14:05:12.000Z,2021-01-23T14:11:03.000Z,241,220,0.84,351,8.7,0.0,0.26,0.77,0.0,,0.0,5.39,N,N,"",N,N,13.0,2021.0,1.0,23.0,1,3.31,Van Cortlandt Village,Spuyten Duyvil/Kingsbridge
668,Uber,B02765,B02765,2021-01-24T12:57:29.000Z,2021-01-24T12:58:47.000Z,2021-01-24T12:59:44.000Z,2021-01-24T13:37:24.000Z,127,37,20.91,2260,44.67,6.12,1.52,4.51,0.0,,0.0,41.97,N,N,"",N,N,12.0,2021.0,1.0,24.0,1,2.699997,Inwood,Bushwick South
661,Uber,B02864,B02864,2021-01-26T22:28:42.000Z,2021-01-26T22:30:10.000Z,2021-01-26T22:32:10.000Z,2021-01-26T23:13:42.000Z,4,222,20.46,2492,30.42,0.0,0.93,2.74,2.75,,0.0,43.43,N,N,"",N,N,22.0,2021.0,1.0,26.0,1,-13.01,Alphabet City,Starrett City
454,Uber,B02872,B02872,2021-01-05T15:45:47.000Z,2021-01-05T15:49:46.000Z,2021-01-05T15:49:55.000Z,2021-01-05T15:56:59.000Z,40,195,1.72,424,6.3,0.0,0.25,0.56,0.0,,0.94,5.45,N,N,"",N,N,15.0,2021.0,1.0,5.0,1,1.7900004,Carroll Gardens,Red Hook
291,Uber,B02882,B02882,2021-01-16T16:37:56.000Z,2021-01-16T16:43:01.000Z,2021-01-16T16:43:27.000Z,2021-01-16T16:52:21.000Z,16,252,2.04,534,8.62,0.0,0.26,0.77,0.0,,0.0,6.72,N,N,"",N,N,16.0,2021.0,1.0,16.0,1,1.9000001,Bayside,Whitestone
967,Uber,B02764,B02764,2021-01-25T07:55:37.000Z,2021-01-25T07:56:17.000Z,2021-01-25T07:57:13.000Z,2021-01-25T08:02:51.000Z,237,237,0.81,338,7.91,0.0,0.24,0.7,2.75,,0.0,5.39,N,N,"",N,N,7.0,2021.0,1.0,25.0,1,2.52,Upper East Side South,Upper East Side South
830,Uber,B02875,B02875,2021-01-31T12:19:24.000Z,2021-01-31T12:20:40.000Z,2021-01-31T12:22:42.000Z,2021-01-31T12:44:05.000Z,223,7,2.35,1283,13.8,0.0,0.41,1.22,0.0,,0.0,19.67,N,N,"",N,Y,12.0,2021.0,1.0,31.0,1,-5.87,Steinway,Astoria
57,Uber,B02872,B02872,2021-01-21T17:52:55.000Z,2021-01-21T17:59:06.000Z,2021-01-21T17:59:30.000Z,2021-01-21T18:18:13.000Z,138,242,9.42,1123,21.66,6.12,0.83,2.47,0.0,,1.0,19.79,N,N,"",N,N,17.0,2021.0,1.0,21.0,0,2.869999,LaGuardia Airport,Van Nest/Morris Park
753,Uber,B02883,B02883,2021-01-24T11:16:32.000Z,2021-01-24T11:18:53.000Z,2021-01-24T11:20:32.000Z,2021-01-24T11:30:59.000Z,148,211,1.15,627,8.7,0.0,0.26,0.77,2.75,,0.0,6.52,N,N,"",N,N,11.0,2021.0,1.0,24.0,1,2.1799998,Lower East Side,SoHo
696,Uber,B02884,B02884,2021-01-02T14:50:36.000Z,2021-01-02T14:52:15.000Z,2021-01-02T14:53:25.000Z,2021-01-02T15:07:57.000Z,181,257,2.62,872,13.16,0.0,0.46,1.17,0.0,,0.94,11.86,N,N,"",N,N,14.0,2021.0,1.0,2.0,1,2.2399998,Park Slope,Windsor Terrace
39,Uber,B02835,B02835,2021-01-14T19:29:42.000Z,2021-01-14T19:34:19.000Z,2021-01-14T19:34:28.000Z,2021-01-14T19:51:50.000Z,35,17,3.37,1042,15.81,0.0,0.47,1.4,0.0,,0.0,12.44,N,N,"",N,N,19.0,2021.0,1.0,14.0,1,3.3700008,Brownsville,Bedford
902,Uber,B02875,B02875,2021-01-27T13:48:38.000Z,2021-01-27T13:52:41.000Z,2021-01-27T13:54:01.000Z,2021-01-27T14:03:12.000Z,197,197,1.59,551,9.97,0.0,0.3,0.88,0.0,,0.0,6.37,N,N,"",N,N,13.0,2021.0,1.0,27.0,1,3.6000004,Richmond Hill,Richmond Hill
400,Lyft,B02510,,2021-01-15T22:11:29.000Z,,2021-01-15T22:16:02.000Z,2021-01-15T22:25:38.000Z,148,224,1.594,576,28.05,0.0,0.84,2.49,2.75,,0.0,16.83,N,N,N,N,N,22.0,2021.0,1.0,15.0,1,11.219999,Lower East Side,Stuy Town/Peter Cooper Village
205,Uber,B02864,B02864,2021-01-11T14:17:36.000Z,2021-01-11T14:19:45.000Z,2021-01-11T14:20:13.000Z,2021-01-11T15:07:11.000Z,113,132,22.13,2818,53.82,0.0,1.8,5.32,2.75,,0.0,47.99,N,N,"",N,N,14.0,2021.0,1.0,11.0,1,5.829998,Greenwich Village North,JFK Airport
752,Uber,B02875,B02875,2021-01-17T12:28:52.000Z,2021-01-17T12:31:54.000Z,2021-01-17T12:32:02.000Z,2021-01-17T12:48:36.000Z,209,246,3.81,994,17.94,0.0,0.54,1.59,2.75,,0.0,12.52,N,N,"",N,N,12.0,2021.0,1.0,17.0,1,5.42,Seaport,West Chelsea/Hudson Yards
306,Uber,B02867,B02867,2021-01-21T09:12:28.000Z,2021-01-21T09:14:05.000Z,2021-01-21T09:16:05.000Z,2021-01-21T09:34:44.000Z,259,168,9.85,1119,29.64,0.0,0.89,2.63,0.0,,3.84,20.23,N,N,"",N,N,9.0,2021.0,1.0,21.0,1,13.25,Woodlawn/Wakefield,Mott Haven/Port Morris
519,Uber,B02765,B02765,2021-01-22T16:12:52.000Z,2021-01-22T16:17:05.000Z,2021-01-22T16:17:41.000Z,2021-01-22T16:33:32.000Z,198,17,2.48,951,11.46,0.0,0.34,1.02,0.0,,0.0,10.86,N,N,"",N,N,16.0,2021.0,1.0,22.0,1,0.6000004,Ridgewood,Bedford
6,Uber,B02836,B02836,2021-01-11T17:40:32.000Z,2021-01-11T17:42:09.000Z,2021-01-11T17:42:23.000Z,2021-01-11T17:50:32.000Z,81,3,1.54,489,6.62,0.0,0.2,0.59,0.0,,0.0,5.8,N,N,"",N,N,17.0,2021.0,1.0,11.0,1,0.8199997,Eastchester,Allerton/Pelham Gardens
684,Uber,B02872,B02872,2021-01-01T21:00:30.000Z,2021-01-01T21:04:41.000Z,2021-01-01T21:06:43.000Z,2021-01-01T21:27:07.000Z,132,86,8.07,1224,33.9,0.0,1.02,3.01,0.0,,0.0,39.11,N,N,"",N,N,21.0,2021.0,1.0,1.0,0,-5.209999,JFK Airport,Far Rockaway
648,Uber,B02869,B02869,2021-01-31T18:52:10.000Z,2021-01-31T19:00:01.000Z,2021-01-31T19:01:24.000Z,2021-01-31T19:16:35.000Z,78,174,4.24,911,9.54,0.0,0.29,0.85,0.0,,0.0,12.3,N,N,"",N,N,18.0,2021.0,1.0,31.0,0,-2.7600002,East Tremont,Norwood
954,Uber,B02875,B02875,2021-01-09T11:10:42.000Z,2021-01-09T11:14:16.000Z,2021-01-09T11:14:40.000Z,2021-01-09T11:43:00.000Z,258,157,12.33,1700,29.68,0.0,0.89,2.63,0.0,,0.0,27.83,N,N,"",N,N,11.0,2021.0,1.0,9.0,1,1.8500004,Woodhaven,Maspeth
785,Uber,B02879,B02879,2021-01-15T08:33:22.000Z,2021-01-15T08:37:47.000Z,2021-01-15T08:37:57.000Z,2021-01-15T08:45:46.000Z,237,164,1.65,469,12.36,0.0,0.37,1.1,2.75,,0.0,5.74,N,N,"",N,N,8.0,2021.0,1.0,15.0,1,6.62,Upper East Side South,Midtown South
