index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
159,Lyft,B02510,,2021-01-21T23:31:43.000Z,,2021-01-21T23:37:08.000Z,2021-01-21T23:44:41.000Z,39,39,0.916,453,7.24,0.0,0.22,0.64,0.0,,0.0,5.47,N,N,N,N,N,23.0,2021.0,1.0,21.0,1,1.77,Canarsie,Canarsie
574,Uber,B02869,B02869,2021-01-24T13:57:33.000Z,2021-01-24T13:59:16.000Z,2021-01-24T14:00:27.000Z,2021-01-24T14:16:48.000Z,16,213,8.21,981,22.99,6.12,0.87,2.58,0.0,,0.0,17.26,N,N,"",N,N,13.0,2021.0,1.0,24.0,1,5.7299995,Bayside,Soundview/Castle Hill
917,Lyft,B02510,,2021-01-16T20:55:52.000Z,,2021-01-16T20:58:41.000Z,2021-01-16T21:12:52.000Z,168,116,1.987,851,11.16,0.0,0.33,0.99,0.0,,0.0,9.33,N,N,N,N,N,20.0,2021.0,1.0,16.0,1,1.8299999,Mott Haven/Port Morris,Hamilton Heights
285,Lyft,B02510,,2021-01-24T17:15:00.000Z,,2021-01-24T17:18:00.000Z,2021-01-24T17:27:44.000Z,82,260,1.735,584,8.53,0.0,0.26,0.76,0.0,,0.0,6.82,N,N,N,N,N,17.0,2021.0,1.0,24.0,1,1.7099996,Elmhurst,Woodside
805,Uber,B02617,B02617,2021-01-15T12:03:36.000Z,2021-01-15T12:04:56.000Z,2021-01-15T12:06:55.000Z,2021-01-15T12:19:17.000Z,237,162,1.92,742,9.33,0.0,0.28,0.83,2.75,,1.0,8.33,N,N,"",N,N,12.0,2021.0,1.0,15.0,1,2.0,Upper East Side South,Midtown East
431,Lyft,B02510,,2021-01-02T12:12:33.000Z,,2021-01-02T12:17:24.000Z,2021-01-02T12:26:09.000Z,244,243,1.323,525,8.32,0.25,0.26,0.76,0.0,,5.0,5.86,N,N,N,N,N,12.0,2021.0,1.0,2.0,1,7.4599996,Washington Heights South,Washington Heights North
517,Uber,B02875,B02875,2021-01-11T14:33:53.000Z,2021-01-11T14:38:26.000Z,2021-01-11T14:39:26.000Z,2021-01-11T14:50:48.000Z,74,42,2.1,682,11.23,0.0,0.34,1.0,0.0,,0.0,8.03,N,N,"",N,N,14.0,2021.0,1.0,11.0,1,3.1999998,East Harlem North,Central Harlem North
278,Uber,B02884,B02884,2021-01-10T00:44:16.000Z,2021-01-10T00:45:53.000Z,2021-01-10T00:47:29.000Z,2021-01-10T01:04:50.000Z,47,74,3.94,1041,11.75,0.0,0.35,1.04,0.0,,0.0,13.05,N,N,"",N,N,0.0,2021.0,1.0,10.0,1,-1.3000002,Claremont/Bathgate,East Harlem North
943,Uber,B02882,B02882,2021-01-21T18:21:10.000Z,2021-01-21T18:25:17.000Z,2021-01-21T18:26:23.000Z,2021-01-21T18:50:35.000Z,78,41,7.31,1452,34.38,0.0,1.22,3.59,0.0,,4.0,23.25,N,N,"",N,N,18.0,2021.0,1.0,21.0,1,15.130001,East Tremont,Central Harlem
680,Uber,B02872,B02872,2021-01-28T00:49:07.000Z,2021-01-28T00:50:27.000Z,2021-01-28T00:51:52.000Z,2021-01-28T01:04:29.000Z,63,216,2.82,757,10.06,0.0,0.3,0.89,0.0,,0.0,0.0,N,N,"",N,Y,0.0,2021.0,1.0,28.0,1,10.06,Cypress Hills,South Ozone Park
762,Uber,B02765,B02765,2021-01-27T15:08:52.000Z,2021-01-27T15:11:13.000Z,2021-01-27T15:11:13.000Z,2021-01-27T15:20:50.000Z,39,72,1.27,577,8.1,0.0,0.24,0.72,0.0,,0.0,6.23,N,N,"",N,N,15.0,2021.0,1.0,27.0,1,1.8700004,Canarsie,East Flatbush/Remsen Village
325,Uber,B02872,B02872,2021-01-23T09:19:44.000Z,2021-01-23T09:23:27.000Z,2021-01-23T09:25:19.000Z,2021-01-23T09:35:26.000Z,160,36,2.68,607,14.01,0.0,0.42,1.24,0.0,,0.0,8.04,N,N,"",N,N,9.0,2021.0,1.0,23.0,1,5.9700003,Middle Village,Bushwick North
715,Lyft,B02510,,2021-01-04T19:32:20.000Z,,2021-01-04T19:34:22.000Z,2021-01-04T19:42:06.000Z,90,68,0.966,464,9.25,0.0,0.28,0.82,2.75,,0.0,7.07,N,N,N,N,N,19.0,2021.0,1.0,4.0,1,2.1799998,Flatiron,East Chelsea
540,Lyft,B02510,,2021-01-23T14:28:17.000Z,,2021-01-23T14:31:30.000Z,2021-01-23T14:46:49.000Z,33,79,4.029,919,17.52,0.0,0.53,1.55,2.75,,0.0,12.16,N,N,N,N,N,14.0,2021.0,1.0,23.0,1,5.3600006,Brooklyn Heights,East Village
