index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
834,Lyft,B02510,,2021-01-11T23:13:17.000Z,,2021-01-11T23:17:59.000Z,2021-01-11T23:32:41.000Z,13,68,3.647,882,12.68,0.0,0.38,1.13,2.75,,0.0,11.44,N,N,N,N,N,23.0,2021.0,1.0,11.0,1,1.2400007,Battery Park City,East Chelsea
74,Uber,B02872,B02872,2021-01-18T09:05:02.000Z,2021-01-18T09:09:37.000Z,2021-01-18T09:10:12.000Z,2021-01-18T09:13:46.000Z,67,227,0.58,214,6.33,0.0,0.19,0.56,0.0,,0.0,5.39,N,N,"",N,N,9.0,2021.0,1.0,18.0,1,0.94000006,Dyker Heights,Sunset Park East
969,Lyft,B02510,,2021-01-04T01:22:56.000Z,,2021-01-04T01:25:24.000Z,2021-01-04T01:34:32.000Z,22,22,2.296,548,6.13,0.0,0.18,0.54,0.0,,2.0,7.14,N,N,N,N,N,1.0,2021.0,1.0,4.0,1,0.99000025,Bensonhurst West,Bensonhurst West
944,Uber,B02836,B02836,2021-01-23T15:27:57.000Z,2021-01-23T15:29:09.000Z,2021-01-23T15:29:22.000Z,2021-01-23T15:43:31.000Z,79,164,2.4,849,10.79,0.0,0.34,1.01,2.75,,0.0,9.75,N,N,"",N,N,15.0,2021.0,1.0,23.0,1,1.04,East Village,Midtown South
359,Uber,B02764,B02764,2021-01-12T14:59:37.000Z,2021-01-12T15:00:47.000Z,2021-01-12T15:01:36.000Z,2021-01-12T15:13:00.000Z,174,254,2.07,684,12.22,0.0,0.37,1.08,0.0,,0.0,8.0,N,N,"",N,N,14.0,2021.0,1.0,12.0,1,4.2200003,Norwood,Williamsbridge/Olinville
215,Lyft,B02510,,2021-01-02T16:23:21.000Z,,2021-01-02T16:26:04.000Z,2021-01-02T16:59:21.000Z,243,161,9.091,1997,33.47,0.0,1.0,2.97,2.75,,0.0,26.82,N,N,N,N,N,16.0,2021.0,1.0,2.0,1,6.6500015,Washington Heights North,Midtown Center
799,Uber,B02682,B02682,2021-01-29T16:29:08.000Z,2021-01-29T16:33:43.000Z,2021-01-29T16:34:01.000Z,2021-01-29T16:41:49.000Z,119,69,1.12,468,8.31,0.0,0.25,0.74,0.0,,0.0,7.15,N,N,"",N,N,16.0,2021.0,1.0,29.0,1,1.1600003,Highbridge,East Concourse/Concourse Village
220,Uber,B02883,B02883,2021-01-10T15:24:12.000Z,2021-01-10T15:25:34.000Z,2021-01-10T15:27:34.000Z,2021-01-10T15:36:52.000Z,71,188,0.92,558,7.18,0.0,0.22,0.64,0.0,,0.0,5.68,N,N,"",N,N,15.0,2021.0,1.0,10.0,1,1.5,East Flatbush/Farragut,Prospect-Lefferts Gardens
44,Lyft,B02510,,2021-01-23T10:15:00.000Z,,2021-01-23T10:00:00.000Z,2021-01-23T10:26:38.000Z,49,252,15.003,1598,52.49,0.0,1.58,4.66,0.0,,0.0,30.03,N,N,N,N,N,10.0,2021.0,1.0,23.0,1,22.460001,Clinton Hill,Whitestone
941,Lyft,B02510,,2021-01-06T08:47:33.000Z,,2021-01-06T08:57:16.000Z,2021-01-06T09:06:38.000Z,17,255,1.399,562,8.5,0.0,0.26,0.75,0.0,,0.0,6.26,N,N,N,N,N,8.0,2021.0,1.0,6.0,0,2.2399998,Bedford,Williamsburg (North Side)
