index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
948,Lyft,B02510,,2021-01-02T13:11:49.000Z,,2021-01-02T13:16:15.000Z,2021-01-02T13:19:29.000Z,191,191,0.785,194,7.28,0.0,0.22,0.65,0.0,,0.0,5.47,N,N,N,N,N,13.0,2021.0,1.0,2.0,1,1.8100004,Queens Village,Queens Village
718,Uber,B02887,B02887,2021-01-09T08:21:35.000Z,2021-01-09T08:26:20.000Z,2021-01-09T08:26:58.000Z,2021-01-09T08:36:40.000Z,98,171,2.31,582,10.15,0.0,0.3,0.9,0.0,,0.0,7.42,N,N,"",N,N,8.0,2021.0,1.0,9.0,1,2.7299995,Fresh Meadows,Murray Hill-Queens
567,Uber,B02869,B02869,2021-01-15T02:43:26.000Z,2021-01-15T02:45:37.000Z,2021-01-15T02:45:45.000Z,2021-01-15T02:50:59.000Z,7,223,1.16,314,7.91,0.0,0.24,0.7,0.0,,0.0,5.4,N,N,"",N,N,2.0,2021.0,1.0,15.0,1,2.5099998,Astoria,Steinway
120,Uber,B02682,B02682,2021-01-27T15:37:44.000Z,2021-01-27T15:41:14.000Z,2021-01-27T15:42:29.000Z,2021-01-27T16:07:52.000Z,147,92,8.86,1523,22.84,6.12,0.87,2.57,0.0,,0.0,22.51,N,N,"",N,N,15.0,2021.0,1.0,27.0,1,0.32999992,Longwood,Flushing
504,Uber,B02395,B02395,2021-01-02T19:23:09.000Z,2021-01-02T19:25:59.000Z,2021-01-02T19:26:09.000Z,2021-01-02T19:47:52.000Z,236,234,3.6,1303,22.74,0.0,0.0,0.0,2.75,,0.0,15.68,N,N,"",N,N,19.0,2021.0,1.0,2.0,1,7.0599995,Upper East Side North,Union Sq
729,Via,B02800,,2021-01-26T17:18:19.000Z,,2021-01-26T17:24:12.000Z,2021-01-26T17:51:11.000Z,229,129,5.44,1618,30.95,0.0,0.0,2.2,2.75,,0.0,16.47,N,N,N,N,N,17.0,2021.0,1.0,26.0,1,14.480001,Sutton Place/Turtle Bay North,Jackson Heights
219,Uber,B02765,B02765,2021-01-20T14:35:45.000Z,2021-01-20T14:40:28.000Z,2021-01-20T14:41:12.000Z,2021-01-20T14:53:46.000Z,35,76,2.3,754,8.96,0.0,0.27,0.8,0.0,,0.0,8.85,N,N,"",N,N,14.0,2021.0,1.0,20.0,1,0.10999966,Brownsville,East New York
695,Uber,B02864,B02864,2021-01-31T10:03:00.000Z,2021-01-31T10:03:46.000Z,2021-01-31T10:05:47.000Z,2021-01-31T10:22:24.000Z,166,247,3.99,998,19.49,0.0,0.58,1.73,0.0,,3.26,12.75,N,N,"",N,N,10.0,2021.0,1.0,31.0,1,10.0,Morningside Heights,West Concourse
475,Uber,B02875,B02875,2021-01-23T16:53:25.000Z,2021-01-23T16:56:34.000Z,2021-01-23T16:56:53.000Z,2021-01-23T17:10:07.000Z,130,197,2.67,794,12.41,0.0,0.37,1.1,0.0,,0.0,9.6,N,N,"",N,N,16.0,2021.0,1.0,23.0,1,2.8099995,Jamaica,Richmond Hill
140,Uber,B02878,B02878,2021-01-21T11:53:32.000Z,2021-01-21T11:54:33.000Z,2021-01-21T11:55:25.000Z,2021-01-21T12:08:31.000Z,153,169,2.37,786,12.9,0.0,0.39,1.14,0.0,,0.0,9.2,N,N,"",N,N,11.0,2021.0,1.0,21.0,1,3.6999998,Marble Hill,Mount Hope
308,Uber,B02764,B02764,2021-01-29T20:13:18.000Z,2021-01-29T20:17:32.000Z,2021-01-29T20:18:02.000Z,2021-01-29T20:36:16.000Z,143,107,4.29,1094,16.23,0.0,0.5,1.49,2.75,,0.0,13.89,N,N,"",N,N,20.0,2021.0,1.0,29.0,1,2.3399992,Lincoln Square West,Gramercy
782,Uber,B02872,B02872,2021-01-24T17:11:37.000Z,2021-01-24T17:12:21.000Z,2021-01-24T17:12:23.000Z,2021-01-24T17:22:30.000Z,238,237,1.88,607,6.64,0.0,0.22,0.64,2.75,,0.0,7.15,N,N,"",N,N,17.0,2021.0,1.0,24.0,1,-0.5100002,Upper West Side North,Upper East Side South
860,Uber,B02764,B02764,2021-01-26T14:54:39.000Z,2021-01-26T14:55:13.000Z,2021-01-26T14:55:39.000Z,2021-01-26T15:05:11.000Z,169,47,1.14,572,6.74,0.0,0.2,0.6,0.0,,0.0,6.05,N,N,"",N,N,14.0,2021.0,1.0,26.0,1,0.6899996,Mount Hope,Claremont/Bathgate
483,Lyft,B02510,,2021-01-27T14:02:46.000Z,,2021-01-27T14:06:28.000Z,2021-01-27T14:41:29.000Z,257,225,7.77,2101,29.07,0.0,0.87,2.58,0.0,,0.0,26.22,N,N,N,N,N,14.0,2021.0,1.0,27.0,1,2.8500004,Windsor Terrace,Stuyvesant Heights
55,Uber,B02871,B02871,2021-01-04T05:43:41.000Z,2021-01-04T05:49:55.000Z,2021-01-04T05:50:18.000Z,2021-01-04T06:19:10.000Z,22,137,13.73,1732,38.13,6.12,1.33,3.93,2.75,,0.0,29.63,N,N,"",N,N,5.0,2021.0,1.0,4.0,0,8.500002,Bensonhurst West,Kips Bay
441,Lyft,B02510,,2021-01-03T05:21:05.000Z,,2021-01-03T05:26:21.000Z,2021-01-03T05:46:03.000Z,241,126,8.267,1182,24.88,0.14,0.75,2.22,0.0,,0.0,19.07,N,N,N,N,N,5.0,2021.0,1.0,3.0,1,5.8099995,Van Cortlandt Village,Hunts Point
779,Uber,B02867,B02867,2021-01-03T14:38:33.000Z,2021-01-03T14:43:03.000Z,2021-01-03T14:43:47.000Z,2021-01-03T15:18:00.000Z,138,181,12.63,2053,30.84,0.0,0.93,2.74,0.0,,0.0,31.11,N,N,"",N,N,14.0,2021.0,1.0,3.0,1,-0.27000046,LaGuardia Airport,Park Slope
976,Uber,B02869,B02869,2021-01-17T17:44:32.000Z,2021-01-17T17:47:34.000Z,2021-01-17T17:47:54.000Z,2021-01-17T18:02:19.000Z,161,246,1.51,865,6.8,0.0,0.22,0.65,2.75,,0.0,8.91,N,N,"",N,N,17.0,2021.0,1.0,17.0,1,-2.1099997,Midtown Center,West Chelsea/Hudson Yards
