index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
232,Uber,B02617,B02617,2021-01-29T10:24:37.000Z,2021-01-29T10:29:24.000Z,2021-01-29T10:29:31.000Z,2021-01-29T11:30:47.000Z,138,265,38.98,3676,137.28,26.12,4.9,14.5,0.0,,0.0,100.78,N,N,"",N,N,10.0,2021.0,1.0,29.0,1,36.5,LaGuardia Airport,
103,Uber,B02682,B02682,2021-01-09T22:20:21.000Z,2021-01-09T22:22:26.000Z,2021-01-09T22:24:26.000Z,2021-01-09T22:51:43.000Z,225,161,9.79,1637,32.87,6.12,1.17,3.46,2.75,,0.0,24.49,N,N,"",N,N,22.0,2021.0,1.0,9.0,1,8.379999,Stuyvesant Heights,Midtown Center
986,Lyft,B02510,,2021-01-02T21:19:02.000Z,,2021-01-02T21:21:56.000Z,2021-01-02T21:29:57.000Z,233,79,2.019,481,8.99,0.0,0.27,0.8,2.75,,0.0,6.27,N,N,N,N,N,21.0,2021.0,1.0,2.0,1,2.7199998,UN/Turtle Bay South,East Village
945,Uber,B02764,B02764,2021-01-07T14:50:56.000Z,2021-01-07T14:54:31.000Z,2021-01-07T14:54:48.000Z,2021-01-07T15:04:55.000Z,147,69,1.38,607,11.12,0.0,0.33,0.99,0.0,,0.0,6.6,N,N,"",N,N,14.0,2021.0,1.0,7.0,1,4.52,Longwood,East Concourse/Concourse Village
769,Uber,B02864,B02864,2021-01-23T14:58:48.000Z,2021-01-23T15:02:20.000Z,2021-01-23T15:02:30.000Z,2021-01-23T15:12:34.000Z,170,237,1.7,604,6.36,0.0,0.21,0.61,2.75,,0.0,6.94,N,N,"",N,N,14.0,2021.0,1.0,23.0,1,-0.5799999,Murray Hill,Upper East Side South
23,Lyft,B02510,,2021-01-16T13:52:42.000Z,,2021-01-16T13:59:17.000Z,2021-01-16T14:08:29.000Z,136,169,1.179,552,8.93,0.0,0.27,0.79,0.0,,0.0,5.92,N,N,N,N,N,13.0,2021.0,1.0,16.0,0,3.0100002,Kingsbridge Heights,Mount Hope
114,Uber,B02764,B02764,2021-01-29T15:38:44.000Z,2021-01-29T15:41:01.000Z,2021-01-29T15:43:02.000Z,2021-01-29T16:01:54.000Z,11,67,2.83,1132,13.63,0.0,0.41,1.21,0.0,,0.0,13.77,N,N,"",N,N,15.0,2021.0,1.0,29.0,1,-0.14000034,Bath Beach,Dyker Heights
660,Uber,B02836,B02836,2021-01-28T07:27:32.000Z,2021-01-28T07:31:11.000Z,2021-01-28T07:31:20.000Z,2021-01-28T08:09:31.000Z,130,80,11.02,2291,23.54,0.0,0.71,2.09,0.0,,0.0,31.33,N,N,"",N,N,7.0,2021.0,1.0,28.0,1,-7.789999,Jamaica,East Williamsburg
893,Uber,B02875,B02875,2021-01-03T14:49:15.000Z,2021-01-03T14:50:49.000Z,2021-01-03T14:52:49.000Z,2021-01-03T15:04:46.000Z,45,148,0.95,717,10.39,0.0,0.31,0.92,2.75,,0.0,12.95,N,N,"",N,Y,14.0,2021.0,1.0,3.0,1,-2.5599995,Chinatown,Lower East Side
53,Lyft,B02510,,2021-01-06T09:39:40.000Z,,2021-01-06T09:44:19.000Z,2021-01-06T09:54:05.000Z,254,185,3.921,586,11.83,0.0,0.2,0.61,0.0,,0.0,9.25,N,N,N,N,N,9.0,2021.0,1.0,6.0,1,2.58,Williamsbridge/Olinville,Pelham Parkway
