index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
808,Uber,B02872,B02872,2021-01-07T08:07:13.000Z,2021-01-07T08:09:32.000Z,2021-01-07T08:10:03.000Z,2021-01-07T08:46:39.000Z,160,237,9.89,2196,28.9,6.12,0.88,2.59,2.75,,0.0,29.29,N,N,"",N,N,8.0,2021.0,1.0,7.0,1,-0.3900013,Middle Village,Upper East Side South
714,Uber,B02872,B02872,2021-01-09T19:44:28.000Z,2021-01-09T19:49:06.000Z,2021-01-09T19:50:40.000Z,2021-01-09T19:59:21.000Z,94,31,1.3,521,9.89,0.0,0.3,0.88,0.0,,0.0,5.79,N,N,"",N,N,19.0,2021.0,1.0,9.0,0,4.1000004,Fordham South,Bronx Park
999,Uber,B02765,B02765,2021-01-19T22:14:22.000Z,2021-01-19T22:16:16.000Z,2021-01-19T22:18:16.000Z,2021-01-19T22:44:30.000Z,258,70,9.6,1574,21.87,0.0,0.77,2.29,0.0,,0.0,23.77,N,N,"",N,N,22.0,2021.0,1.0,19.0,1,-1.8999996,Woodhaven,East Elmhurst
154,Uber,B02682,B02682,2021-01-27T18:32:23.000Z,2021-01-27T18:34:34.000Z,2021-01-27T18:35:31.000Z,2021-01-27T19:15:08.000Z,11,7,18.47,2377,43.92,0.0,1.32,3.9,0.0,,0.0,40.26,N,N,"",N,N,18.0,2021.0,1.0,27.0,1,3.6599998,Bath Beach,Astoria
304,Uber,B02884,B02884,2021-01-25T19:01:05.000Z,2021-01-25T19:05:16.000Z,2021-01-25T19:06:48.000Z,2021-01-25T19:20:11.000Z,170,79,2.66,803,11.88,0.0,0.36,1.05,2.75,,0.0,9.65,N,N,"",N,N,19.0,2021.0,1.0,25.0,1,2.2300005,Murray Hill,East Village
789,Uber,B02864,B02864,2021-01-29T17:56:42.000Z,2021-01-29T17:59:00.000Z,2021-01-29T18:00:05.000Z,2021-01-29T18:16:10.000Z,47,94,1.91,965,9.46,0.0,0.28,0.84,0.0,,0.0,11.94,N,N,"",N,N,17.0,2021.0,1.0,29.0,1,-2.4799995,Claremont/Bathgate,Fordham South
451,Uber,B02884,B02884,2021-01-07T08:36:43.000Z,2021-01-07T08:38:50.000Z,2021-01-07T08:39:31.000Z,2021-01-07T08:57:42.000Z,119,136,3.42,1091,14.16,0.0,0.42,1.26,0.0,,0.0,15.9,N,N,"",N,N,8.0,2021.0,1.0,7.0,1,-1.7399998,Highbridge,Kingsbridge Heights
801,Uber,B02764,B02764,2021-01-05T20:07:22.000Z,2021-01-05T20:10:14.000Z,2021-01-05T20:10:32.000Z,2021-01-05T20:26:36.000Z,212,81,7.52,964,18.19,0.0,0.55,1.61,0.0,,0.0,16.37,N,N,"",N,N,20.0,2021.0,1.0,5.0,1,1.8199997,Soundview/Bruckner,Eastchester
393,Uber,B02869,B02869,2021-01-17T02:39:03.000Z,2021-01-17T02:45:43.000Z,2021-01-17T02:45:48.000Z,2021-01-17T02:54:31.000Z,256,66,4.03,523,15.85,0.0,0.48,1.41,0.0,,2.0,8.82,N,N,"",N,N,2.0,2021.0,1.0,17.0,0,9.030001,Williamsburg (South Side),DUMBO/Vinegar Hill
582,Uber,B02764,B02764,2021-01-28T16:02:16.000Z,2021-01-28T16:06:56.000Z,2021-01-28T16:07:14.000Z,2021-01-28T16:25:32.000Z,212,254,4.79,1098,14.62,0.0,0.44,1.3,0.0,,0.0,14.47,N,N,"",N,N,16.0,2021.0,1.0,28.0,1,0.14999962,Soundview/Bruckner,Williamsbridge/Olinville
371,Uber,B02869,B02869,2021-01-23T07:26:04.000Z,2021-01-23T07:29:09.000Z,2021-01-23T07:30:15.000Z,2021-01-23T07:38:29.000Z,198,198,1.68,494,9.38,0.0,0.28,0.83,0.0,,0.0,5.98,N,N,"",N,N,7.0,2021.0,1.0,23.0,1,3.4,Ridgewood,Ridgewood
561,Uber,B02764,B02764,2021-01-08T09:13:59.000Z,2021-01-08T09:19:01.000Z,2021-01-08T09:19:01.000Z,2021-01-08T09:27:09.000Z,241,174,1.23,488,7.91,0.0,0.24,0.7,0.0,,0.0,5.44,N,N,"",N,N,9.0,2021.0,1.0,8.0,1,2.4699998,Van Cortlandt Village,Norwood
448,Uber,B02869,B02869,2021-01-30T10:49:07.000Z,2021-01-30T10:52:53.000Z,2021-01-30T10:53:31.000Z,2021-01-30T11:24:33.000Z,7,265,11.76,1862,36.84,26.12,1.89,0.0,0.0,,0.0,30.44,N,N,"",N,N,10.0,2021.0,1.0,30.0,1,6.3999996,Astoria,
807,Uber,B02880,B02880,2021-01-15T20:05:49.000Z,2021-01-15T20:08:57.000Z,2021-01-15T20:09:24.000Z,2021-01-15T20:14:08.000Z,95,95,1.02,284,7.91,0.0,0.24,0.7,0.0,,0.0,5.52,N,N,"",N,N,20.0,2021.0,1.0,15.0,1,2.3899999,Forest Hills,Forest Hills
672,Lyft,B02510,,2021-01-09T12:48:48.000Z,,2021-01-09T12:55:46.000Z,2021-01-09T12:59:45.000Z,222,222,0.541,239,7.28,0.0,0.22,0.65,0.0,,0.0,5.47,N,N,N,N,N,12.0,2021.0,1.0,9.0,0,1.8100004,Starrett City,Starrett City
97,Uber,B02888,B02888,2021-01-31T11:56:47.000Z,2021-01-31T12:05:02.000Z,2021-01-31T12:05:28.000Z,2021-01-31T12:27:41.000Z,179,4,10.76,1333,14.75,6.12,0.64,1.9,2.75,,0.0,23.02,N,N,"",N,N,11.0,2021.0,1.0,31.0,0,-8.27,Old Astoria,Alphabet City
165,Uber,B02869,B02869,2021-01-09T13:55:01.000Z,2021-01-09T13:56:27.000Z,2021-01-09T13:57:14.000Z,2021-01-09T14:07:52.000Z,63,198,2.06,638,9.57,0.0,0.29,0.85,0.0,,0.0,7.61,N,N,"",N,N,13.0,2021.0,1.0,9.0,1,1.9599996,Cypress Hills,Ridgewood
576,Uber,B02879,B02879,2021-01-29T22:07:05.000Z,2021-01-29T22:10:30.000Z,2021-01-29T22:12:31.000Z,2021-01-29T22:23:19.000Z,69,78,2.36,649,11.16,0.0,0.33,0.99,0.0,,0.0,8.04,N,N,"",N,N,22.0,2021.0,1.0,29.0,1,3.12,East Concourse/Concourse Village,East Tremont
562,Uber,B02764,B02764,2021-01-23T17:27:56.000Z,2021-01-23T17:29:37.000Z,2021-01-23T17:30:32.000Z,2021-01-23T17:49:51.000Z,164,231,2.42,1159,11.89,0.0,0.37,1.1,2.75,,1.0,18.41,N,N,"",N,Y,17.0,2021.0,1.0,23.0,1,-5.5199995,Midtown South,TriBeCa/Civic Center
