index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
614,Uber,B02869,B02869,2021-01-08T04:44:07.000Z,2021-01-08T04:46:26.000Z,2021-01-08T04:48:26.000Z,2021-01-08T05:01:59.000Z,77,102,3.91,813,15.45,0.0,0.46,1.37,0.0,,3.0,11.12,N,N,"",N,N,4.0,2021.0,1.0,8.0,1,7.330001,East New York/Pennsylvania Avenue,Glendale
980,Uber,B02867,B02867,2021-01-15T06:29:03.000Z,2021-01-15T06:32:29.000Z,2021-01-15T06:33:33.000Z,2021-01-15T06:53:58.000Z,130,260,10.79,1225,25.94,0.0,0.78,2.3,0.0,,0.0,22.15,N,N,"",N,N,6.0,2021.0,1.0,15.0,1,3.790001,Jamaica,Woodside
48,Lyft,B02510,,2021-01-03T16:30:26.000Z,,2021-01-03T16:39:03.000Z,2021-01-03T16:56:39.000Z,132,76,7.109,1056,23.23,0.0,0.7,2.06,0.0,,0.0,16.73,N,N,N,N,N,16.0,2021.0,1.0,3.0,0,6.5,JFK Airport,East New York
101,Uber,B02764,B02764,2021-01-11T11:47:46.000Z,2021-01-11T11:53:20.000Z,2021-01-11T11:54:30.000Z,2021-01-11T11:59:33.000Z,217,217,0.32,303,8.7,0.0,0.26,0.77,0.0,,0.0,9.53,N,N,"",Y,Y,11.0,2021.0,1.0,11.0,0,-0.8299999,South Williamsburg,South Williamsburg
299,Uber,B02866,B02866,2021-01-05T06:04:27.000Z,2021-01-05T06:07:36.000Z,2021-01-05T06:08:41.000Z,2021-01-05T06:34:18.000Z,39,130,11.68,1537,25.39,0.0,0.76,2.25,0.0,,0.0,25.75,N,N,"",N,N,6.0,2021.0,1.0,5.0,1,-0.3600006,Canarsie,Jamaica
850,Uber,B02887,B02887,2021-01-16T09:50:42.000Z,2021-01-16T09:51:18.000Z,2021-01-16T09:53:18.000Z,2021-01-16T10:29:08.000Z,66,1,24.29,2150,29.69,27.12,1.52,0.0,0.0,,0.0,48.53,N,N,"",N,N,9.0,2021.0,1.0,16.0,1,-18.839998,DUMBO/Vinegar Hill,Newark Airport
872,Uber,B02835,B02835,2021-01-15T21:46:56.000Z,2021-01-15T21:50:30.000Z,2021-01-15T21:51:07.000Z,2021-01-15T21:58:45.000Z,76,77,1.68,458,8.79,0.0,0.26,0.78,0.0,,0.0,5.68,N,N,"",N,N,21.0,2021.0,1.0,15.0,1,3.1100001,East New York,East New York/Pennsylvania Avenue
803,Lyft,B02510,,2021-01-19T18:10:16.000Z,,2021-01-19T18:14:16.000Z,2021-01-19T18:22:56.000Z,79,144,1.324,520,9.25,0.0,0.28,0.82,2.75,,0.0,7.07,N,N,N,N,N,18.0,2021.0,1.0,19.0,1,2.1799998,East Village,Little Italy/NoLiTa
480,Uber,B02864,B02864,2021-01-09T21:36:19.000Z,2021-01-09T21:36:31.000Z,2021-01-09T21:36:54.000Z,2021-01-09T21:51:29.000Z,152,243,3.33,875,16.28,0.0,0.49,1.44,0.0,,0.0,11.0,N,N,"",N,N,21.0,2021.0,1.0,9.0,1,5.2800007,Manhattanville,Washington Heights North
470,Uber,B02880,B02880,2021-01-02T05:31:09.000Z,2021-01-02T05:34:17.000Z,2021-01-02T05:34:57.000Z,2021-01-02T05:46:28.000Z,188,35,2.51,691,11.45,0.0,0.34,1.02,0.0,,0.0,8.55,N,N,"",N,N,5.0,2021.0,1.0,2.0,1,2.8999996,Prospect-Lefferts Gardens,Brownsville
647,Uber,B02864,B02864,2021-01-27T10:33:28.000Z,2021-01-27T10:34:41.000Z,2021-01-27T10:35:26.000Z,2021-01-27T10:44:47.000Z,140,162,1.27,561,6.75,0.0,0.22,0.65,2.75,,0.0,6.1,N,N,"",N,N,10.0,2021.0,1.0,27.0,1,0.6500001,Lenox Hill East,Midtown East
401,Uber,B02835,B02835,2021-01-31T18:18:18.000Z,2021-01-31T18:24:41.000Z,2021-01-31T18:25:37.000Z,2021-01-31T18:35:27.000Z,244,152,1.83,590,13.5,0.0,0.41,1.2,0.0,,0.0,10.56,N,N,"",N,Y,18.0,2021.0,1.0,31.0,0,2.9399996,Washington Heights South,Manhattanville
364,Uber,B02617,B02617,2021-01-02T05:37:39.000Z,2021-01-02T05:42:21.000Z,2021-01-02T05:42:32.000Z,2021-01-02T05:57:34.000Z,17,89,3.98,902,17.45,0.0,0.52,1.55,0.0,,0.0,11.94,N,N,"",N,N,5.0,2021.0,1.0,2.0,1,5.510001,Bedford,Flatbush/Ditmas Park
292,Uber,B02872,B02872,2021-01-02T21:24:48.000Z,2021-01-02T21:27:24.000Z,2021-01-02T21:27:39.000Z,2021-01-02T21:35:10.000Z,218,219,2.27,451,11.89,0.0,0.36,1.06,0.0,,0.0,6.28,N,N,"",N,N,21.0,2021.0,1.0,2.0,1,5.61,Springfield Gardens North,Springfield Gardens South
601,Uber,B02764,B02764,2021-01-28T14:35:13.000Z,2021-01-28T14:39:22.000Z,2021-01-28T14:39:40.000Z,2021-01-28T14:48:59.000Z,51,254,2.09,559,11.42,0.0,0.34,1.01,0.0,,0.0,7.86,N,N,"",N,N,14.0,2021.0,1.0,28.0,1,3.56,Co-Op City,Williamsbridge/Olinville
92,Uber,B02764,B02764,2021-01-27T12:11:17.000Z,2021-01-27T12:14:48.000Z,2021-01-27T12:15:05.000Z,2021-01-27T12:20:25.000Z,139,219,1.46,320,7.91,0.0,0.24,0.7,0.0,,0.0,5.39,N,N,"",N,N,12.0,2021.0,1.0,27.0,1,2.52,Laurelton,Springfield Gardens South
542,Uber,B02875,B02875,2021-01-22T18:25:44.000Z,2021-01-22T18:29:19.000Z,2021-01-22T18:30:32.000Z,2021-01-22T18:43:32.000Z,225,198,2.35,780,13.02,0.0,0.39,1.16,0.0,,0.0,9.13,N,N,"",N,N,18.0,2021.0,1.0,22.0,1,3.8900003,Stuyvesant Heights,Ridgewood
644,Lyft,B02510,,2021-01-05T16:40:34.000Z,,2021-01-05T16:43:58.000Z,2021-01-05T17:16:22.000Z,203,203,10.003,1944,28.96,0.0,0.72,2.13,0.0,,0.0,27.38,N,N,N,N,N,16.0,2021.0,1.0,5.0,1,1.5799999,Rosedale,Rosedale
430,Uber,B02876,B02876,2021-01-03T11:49:45.000Z,2021-01-03T11:51:33.000Z,2021-01-03T11:52:31.000Z,2021-01-03T12:16:54.000Z,188,231,5.82,1463,22.69,0.0,0.68,2.01,2.75,,0.0,18.66,N,N,"",N,N,11.0,2021.0,1.0,3.0,1,4.0300007,Prospect-Lefferts Gardens,TriBeCa/Civic Center
581,Lyft,B02510,,2021-01-15T06:38:44.000Z,,2021-01-15T06:48:34.000Z,2021-01-15T07:12:50.000Z,185,265,11.635,1456,31.43,0.0,0.94,2.79,0.0,,5.27,28.24,N,N,N,N,N,6.0,2021.0,1.0,15.0,0,8.460001,Pelham Parkway,
163,Uber,B02878,B02878,2021-01-12T15:24:54.000Z,2021-01-12T15:35:36.000Z,2021-01-12T15:36:55.000Z,2021-01-12T15:56:31.000Z,248,168,4.95,1176,21.17,0.0,0.64,1.88,0.0,,0.0,15.3,N,N,"",N,N,15.0,2021.0,1.0,12.0,0,5.87,West Farms/Bronx River,Mott Haven/Port Morris
709,Uber,B02887,B02887,2021-01-16T15:53:35.000Z,2021-01-16T15:54:36.000Z,2021-01-16T15:54:59.000Z,2021-01-16T16:05:27.000Z,170,50,1.4,628,8.15,0.0,0.25,0.75,2.75,,0.0,6.81,N,N,"",N,N,15.0,2021.0,1.0,16.0,1,1.3399997,Murray Hill,Clinton West
62,Uber,B02864,B02864,2021-01-17T13:52:19.000Z,2021-01-17T13:55:20.000Z,2021-01-17T13:56:02.000Z,2021-01-17T14:06:45.000Z,68,231,2.31,643,11.4,0.0,0.34,1.01,2.75,,0.0,7.93,N,N,"",N,N,13.0,2021.0,1.0,17.0,1,3.4699998,East Chelsea,TriBeCa/Civic Center
573,Lyft,B02510,,2021-01-22T23:26:07.000Z,,2021-01-22T23:29:22.000Z,2021-01-22T23:37:09.000Z,188,61,1.586,467,6.79,0.0,0.2,0.6,0.0,,0.0,5.67,N,N,N,N,N,23.0,2021.0,1.0,22.0,1,1.1199999,Prospect-Lefferts Gardens,Crown Heights North
487,Uber,B02875,B02875,2021-01-04T10:56:55.000Z,2021-01-04T10:58:20.000Z,2021-01-04T10:58:56.000Z,2021-01-04T11:27:39.000Z,229,100,2.22,1723,18.38,0.0,0.73,1.64,2.75,,2.82,16.87,N,N,"",N,N,10.0,2021.0,1.0,4.0,1,4.329998,Sutton Place/Turtle Bay North,Garment District
938,Uber,B02883,B02883,2021-01-15T12:35:45.000Z,2021-01-15T12:38:40.000Z,2021-01-15T12:39:47.000Z,2021-01-15T12:56:06.000Z,72,91,3.32,979,13.59,0.0,0.41,1.21,0.0,,0.0,11.85,N,N,"",N,N,12.0,2021.0,1.0,15.0,1,1.7399998,East Flatbush/Remsen Village,Flatlands
955,Uber,B02764,B02764,2021-01-18T16:54:45.000Z,2021-01-18T16:56:28.000Z,2021-01-18T16:58:28.000Z,2021-01-18T17:11:06.000Z,229,48,1.67,758,8.7,0.0,0.28,0.82,2.75,,0.0,8.2,N,N,"",N,N,16.0,2021.0,1.0,18.0,1,0.5,Sutton Place/Turtle Bay North,Clinton East
821,Lyft,B02510,,2021-01-15T18:01:01.000Z,,2021-01-15T18:08:42.000Z,2021-01-15T18:17:40.000Z,244,244,0.641,538,7.43,0.0,0.22,0.66,0.0,,0.0,10.96,N,N,N,N,N,18.0,2021.0,1.0,15.0,0,-3.5300002,Washington Heights South,Washington Heights South
124,Uber,B02878,B02878,2021-01-15T14:48:26.000Z,2021-01-15T14:51:44.000Z,2021-01-15T14:53:22.000Z,2021-01-15T15:06:25.000Z,72,188,1.62,783,12.04,0.0,0.36,1.07,0.0,,0.0,8.35,N,N,"",N,N,14.0,2021.0,1.0,15.0,1,3.6899996,East Flatbush/Remsen Village,Prospect-Lefferts Gardens
817,Uber,B02871,B02871,2021-01-28T15:00:29.000Z,2021-01-28T15:04:11.000Z,2021-01-28T15:04:34.000Z,2021-01-28T15:38:58.000Z,228,234,7.03,2064,24.04,6.12,0.92,2.73,2.75,,0.0,25.03,N,N,"",N,N,15.0,2021.0,1.0,28.0,1,-0.9899998,Sunset Park West,Union Sq
568,Uber,B02872,B02872,2021-01-29T19:25:31.000Z,2021-01-29T19:30:41.000Z,2021-01-29T19:31:39.000Z,2021-01-29T19:41:08.000Z,234,68,1.36,569,7.04,0.0,0.23,0.67,2.75,,0.0,10.26,N,N,"",N,N,19.0,2021.0,1.0,29.0,0,-3.2200003,Union Sq,East Chelsea
923,Uber,B02765,B02765,2021-01-27T19:46:56.000Z,2021-01-27T19:49:17.000Z,2021-01-27T19:49:17.000Z,2021-01-27T20:04:39.000Z,68,236,4.83,922,23.68,0.0,0.71,2.1,2.75,,0.0,13.05,N,N,"",N,N,19.0,2021.0,1.0,27.0,1,10.63,East Chelsea,Upper East Side North
318,Lyft,B02510,,2021-01-16T08:43:56.000Z,,2021-01-16T08:46:08.000Z,2021-01-16T09:04:24.000Z,50,107,3.445,1096,15.39,0.0,0.46,1.37,2.75,,0.0,13.0,N,N,N,N,N,8.0,2021.0,1.0,16.0,1,2.3900003,Clinton West,Gramercy
138,Uber,B02871,B02871,2021-01-30T16:04:12.000Z,2021-01-30T16:09:05.000Z,2021-01-30T16:09:43.000Z,2021-01-30T16:44:02.000Z,76,17,5.83,2059,26.95,0.0,0.81,2.39,0.0,,0.0,33.76,N,N,"",N,Y,16.0,2021.0,1.0,30.0,1,-6.8099976,East New York,Bedford
24,Lyft,B02510,,2021-01-27T08:00:52.000Z,,2021-01-27T08:03:26.000Z,2021-01-27T08:07:39.000Z,181,181,0.927,253,7.37,0.0,0.22,0.65,0.0,,0.0,5.47,N,N,N,N,N,8.0,2021.0,1.0,27.0,1,1.9000001,Park Slope,Park Slope
710,Lyft,B02510,,2021-01-11T21:20:52.000Z,,2021-01-11T21:25:16.000Z,2021-01-11T21:49:52.000Z,48,54,7.968,1476,27.98,3.34,0.94,2.78,2.75,,5.67,21.2,N,N,N,N,N,21.0,2021.0,1.0,11.0,1,12.450001,Clinton East,Columbia Street
946,Uber,B02887,B02887,2021-01-16T13:18:57.000Z,2021-01-16T13:19:37.000Z,2021-01-16T13:19:43.000Z,2021-01-16T13:27:18.000Z,77,76,1.6,455,7.81,0.0,0.23,0.69,0.0,,0.0,5.57,N,N,"",N,N,13.0,2021.0,1.0,16.0,1,2.2399998,East New York/Pennsylvania Avenue,East New York
