index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
701,Uber,B02765,B02765,2021-01-24T16:32:31.000Z,2021-01-24T16:34:09.000Z,2021-01-24T16:34:36.000Z,2021-01-24T16:42:13.000Z,212,147,2.04,457,7.48,0.0,0.22,0.66,0.0,,0.0,6.08,N,N,"",N,N,16.0,2021.0,1.0,24.0,1,1.4000001,Soundview/Bruckner,Longwood
646,Lyft,B02510,,2021-01-16T12:15:27.000Z,,2021-01-16T12:19:11.000Z,2021-01-16T12:27:23.000Z,136,265,4.358,492,15.17,0.0,0.45,1.34,0.0,,0.0,9.41,N,N,N,N,N,12.0,2021.0,1.0,16.0,1,5.76,Kingsbridge Heights,
874,Uber,B02883,B02883,2021-01-28T14:42:26.000Z,2021-01-28T14:53:20.000Z,2021-01-28T14:53:20.000Z,2021-01-28T15:06:30.000Z,146,223,2.03,790,10.14,0.0,0.3,0.9,0.0,,3.0,8.85,N,N,"",N,N,14.0,2021.0,1.0,28.0,0,4.29,Long Island City/Queens Plaza,Steinway
476,Lyft,B02510,,2021-01-03T15:49:45.000Z,,2021-01-03T15:52:21.000Z,2021-01-03T16:08:56.000Z,61,37,3.086,995,16.91,0.0,0.51,1.5,0.0,,0.0,11.76,N,N,N,N,N,15.0,2021.0,1.0,3.0,1,5.1499996,Crown Heights North,Bushwick South
534,Uber,B02887,B02887,2021-01-11T10:58:43.000Z,2021-01-11T10:59:58.000Z,2021-01-11T11:00:00.000Z,2021-01-11T11:07:21.000Z,237,142,1.21,441,7.91,0.0,0.24,0.7,2.75,,0.0,5.4,N,N,"",N,N,10.0,2021.0,1.0,11.0,1,2.5099998,Upper East Side South,Lincoln Square East
438,Uber,B02836,B02836,2021-01-11T10:03:06.000Z,2021-01-11T10:03:21.000Z,2021-01-11T10:05:21.000Z,2021-01-11T10:27:29.000Z,42,229,3.99,1328,18.96,0.0,0.59,1.73,2.75,,0.0,15.51,N,N,"",N,N,10.0,2021.0,1.0,11.0,1,3.4499989,Central Harlem North,Sutton Place/Turtle Bay North
925,Uber,B02869,B02869,2021-01-05T15:42:53.000Z,2021-01-05T15:43:30.000Z,2021-01-05T15:45:31.000Z,2021-01-05T16:02:44.000Z,162,263,2.27,1033,12.56,0.0,0.39,1.16,2.75,,0.0,11.15,N,N,"",N,N,15.0,2021.0,1.0,5.0,1,1.4100008,Midtown East,Yorkville West
324,Uber,B02835,B02835,2021-01-09T09:16:52.000Z,2021-01-09T09:18:29.000Z,2021-01-09T09:19:00.000Z,2021-01-09T09:32:05.000Z,244,239,5.99,785,18.44,0.0,0.55,1.64,2.75,,0.0,0.0,N,N,"",N,Y,9.0,2021.0,1.0,9.0,1,18.44,Washington Heights South,Upper West Side South
439,Lyft,B02510,,2021-01-01T02:15:17.000Z,,2021-01-01T02:18:51.000Z,2021-01-01T03:01:59.000Z,21,7,26.156,2588,44.31,0.0,1.33,3.93,0.0,,0.0,50.71,N,N,N,N,N,2.0,2021.0,1.0,1.0,1,-6.3999977,Bensonhurst East,Astoria
836,Uber,B02764,B02764,2021-01-23T07:41:19.000Z,2021-01-23T07:44:42.000Z,2021-01-23T07:45:06.000Z,2021-01-23T08:06:16.000Z,36,228,7.4,1270,23.59,0.0,0.71,2.09,0.0,,0.0,18.79,N,N,"",N,N,7.0,2021.0,1.0,23.0,1,4.799999,Bushwick North,Sunset Park West
373,Lyft,B02510,,2021-01-12T20:06:07.000Z,,2021-01-12T20:11:57.000Z,2021-01-12T20:23:08.000Z,18,174,3.506,671,9.34,0.0,0.28,0.83,0.0,,0.0,9.51,N,N,N,N,N,20.0,2021.0,1.0,12.0,1,-0.17000008,Bedford Park,Norwood
332,Uber,B02872,B02872,2021-01-25T10:37:09.000Z,2021-01-25T10:39:41.000Z,2021-01-25T10:40:29.000Z,2021-01-25T11:04:43.000Z,63,37,3.61,1454,16.5,0.0,0.5,1.46,0.0,,0.0,24.42,N,N,"",N,Y,10.0,2021.0,1.0,25.0,1,-7.92,Cypress Hills,Bushwick South
623,Uber,B02764,B02764,2021-01-26T10:51:35.000Z,2021-01-26T10:54:14.000Z,2021-01-26T10:54:30.000Z,2021-01-26T11:05:30.000Z,178,55,2.77,660,10.87,0.0,0.33,0.96,0.0,,0.0,13.63,N,N,"",N,Y,10.0,2021.0,1.0,26.0,1,-2.7600002,Ocean Parkway South,Coney Island
770,Lyft,B02510,,2021-01-13T12:28:50.000Z,,2021-01-13T12:31:14.000Z,2021-01-13T12:49:54.000Z,97,37,2.257,1120,13.4,0.0,0.4,1.19,0.0,,0.0,11.89,N,N,N,N,N,12.0,2021.0,1.0,13.0,1,1.5099993,Fort Greene,Bushwick South
33,Uber,B02875,B02875,2021-01-09T05:19:31.000Z,2021-01-09T05:22:38.000Z,2021-01-09T05:23:12.000Z,2021-01-09T05:35:03.000Z,169,167,2.57,711,11.01,0.0,0.33,0.98,0.0,,0.0,8.79,N,N,"",N,N,5.0,2021.0,1.0,9.0,1,2.2200003,Mount Hope,Morrisania/Melrose
132,Lyft,B02510,,2021-01-11T06:11:04.000Z,,2021-01-11T06:16:21.000Z,2021-01-11T06:24:10.000Z,244,119,2.291,469,7.52,0.0,0.23,0.67,0.0,,0.0,6.47,N,N,N,N,N,6.0,2021.0,1.0,11.0,1,1.0500002,Washington Heights South,Highbridge
535,Uber,B02876,B02876,2021-01-19T09:51:24.000Z,2021-01-19T09:52:41.000Z,2021-01-19T09:53:02.000Z,2021-01-19T10:16:16.000Z,140,66,7.37,1394,26.71,0.0,0.81,2.39,2.75,,10.0,22.86,N,N,"",N,N,9.0,2021.0,1.0,19.0,1,13.849998,Lenox Hill East,DUMBO/Vinegar Hill
380,Uber,B02872,B02872,2021-01-25T18:55:56.000Z,2021-01-25T19:01:23.000Z,2021-01-25T19:01:57.000Z,2021-01-25T19:08:25.000Z,151,239,1.33,388,7.91,0.0,0.24,0.7,2.75,,0.0,5.4,N,N,"",N,N,18.0,2021.0,1.0,25.0,0,2.5099998,Manhattan Valley,Upper West Side South
605,Uber,B02875,B02875,2021-01-09T15:51:54.000Z,2021-01-09T15:52:08.000Z,2021-01-09T15:52:27.000Z,2021-01-09T16:04:41.000Z,114,164,2.25,734,13.1,0.0,0.39,1.16,2.75,,0.0,8.62,N,N,"",N,N,15.0,2021.0,1.0,9.0,1,4.4800005,Greenwich Village South,Midtown South
