index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
719,Uber,B02764,B02764,2021-01-25T14:40:16.000Z,2021-01-25T14:45:07.000Z,2021-01-25T14:46:03.000Z,2021-01-25T14:59:56.000Z,61,37,2.28,833,9.5,0.0,0.29,0.84,0.0,,3.0,9.48,N,N,"",N,N,14.0,2021.0,1.0,25.0,1,3.0200005,Crown Heights North,Bushwick South
340,Uber,B02765,B02765,2021-01-17T03:04:25.000Z,2021-01-17T03:07:16.000Z,2021-01-17T03:09:17.000Z,2021-01-17T03:35:26.000Z,191,7,14.13,1569,36.55,0.0,1.1,3.24,0.0,,0.0,28.72,N,N,"",N,N,3.0,2021.0,1.0,17.0,1,7.83,Queens Village,Astoria
913,Lyft,B02510,,2021-01-17T16:33:33.000Z,,2021-01-17T16:36:53.000Z,2021-01-17T16:48:54.000Z,188,61,1.708,721,9.7,0.0,0.29,0.86,0.0,,2.0,7.93,N,N,N,N,N,16.0,2021.0,1.0,17.0,1,3.77,Prospect-Lefferts Gardens,Crown Heights North
706,Uber,B02764,B02764,2021-01-11T03:32:30.000Z,2021-01-11T03:34:03.000Z,2021-01-11T03:35:10.000Z,2021-01-11T03:45:39.000Z,82,260,1.99,629,9.91,0.0,0.3,0.88,0.0,,0.0,7.47,N,N,"",N,N,3.0,2021.0,1.0,11.0,1,2.44,Elmhurst,Woodside
857,Uber,B02765,B02765,2021-01-10T18:33:03.000Z,2021-01-10T18:37:01.000Z,2021-01-10T18:37:13.000Z,2021-01-10T18:58:02.000Z,146,143,4.61,1249,23.52,0.0,0.71,2.09,2.75,,0.0,15.54,N,N,"",N,N,18.0,2021.0,1.0,10.0,1,7.9800005,Long Island City/Queens Plaza,Lincoln Square West
935,Uber,B02877,B02877,2021-01-08T11:06:00.000Z,2021-01-08T11:07:49.000Z,2021-01-08T11:08:53.000Z,2021-01-08T11:18:00.000Z,215,219,4.7,547,12.49,0.0,0.37,1.11,0.0,,0.0,9.76,N,N,"",N,N,11.0,2021.0,1.0,8.0,1,2.7299995,South Jamaica,Springfield Gardens South
501,Uber,B02864,B02864,2021-01-19T18:43:47.000Z,2021-01-19T18:46:52.000Z,2021-01-19T18:48:52.000Z,2021-01-19T19:03:56.000Z,177,61,2.46,904,11.36,0.0,0.34,1.01,0.0,,0.0,10.29,N,N,"",N,N,18.0,2021.0,1.0,19.0,1,1.0699997,Ocean Hill,Crown Heights North
914,Uber,B02765,B02765,2021-01-06T08:12:39.000Z,2021-01-06T08:16:45.000Z,2021-01-06T08:16:56.000Z,2021-01-06T08:30:50.000Z,97,255,2.56,834,14.99,0.0,0.45,1.33,0.0,,0.0,9.8,N,N,"",N,N,8.0,2021.0,1.0,6.0,1,5.1899996,Fort Greene,Williamsburg (North Side)
780,Uber,B02765,B02765,2021-01-14T15:37:55.000Z,2021-01-14T15:40:10.000Z,2021-01-14T15:40:22.000Z,2021-01-14T16:04:33.000Z,77,36,3.58,1451,18.64,0.0,0.56,1.65,0.0,,0.0,16.09,N,N,"",N,N,15.0,2021.0,1.0,14.0,1,2.5499992,East New York/Pennsylvania Avenue,Bushwick North
423,Lyft,B02510,,2021-01-10T19:43:10.000Z,,2021-01-10T19:47:53.000Z,2021-01-10T20:13:09.000Z,142,255,6.416,1516,29.71,1.32,0.93,2.75,2.75,,0.0,19.82,N,N,N,N,N,19.0,2021.0,1.0,10.0,1,9.889999,Lincoln Square East,Williamsburg (North Side)
274,Uber,B02887,B02887,2021-01-02T19:33:49.000Z,2021-01-02T19:36:51.000Z,2021-01-02T19:38:01.000Z,2021-01-02T20:02:44.000Z,61,195,6.87,1483,23.22,0.0,0.7,2.06,0.0,,0.0,20.52,N,N,"",N,N,19.0,2021.0,1.0,2.0,1,2.6999989,Crown Heights North,Red Hook
185,Uber,B02395,B02395,2021-01-15T07:01:14.000Z,2021-01-15T07:03:13.000Z,2021-01-15T07:05:02.000Z,2021-01-15T07:15:06.000Z,113,230,2.61,604,14.58,0.0,0.0,0.0,2.75,,0.0,7.94,N,N,"",N,N,7.0,2021.0,1.0,15.0,1,6.64,Greenwich Village North,Times Sq/Theatre District
5,Uber,B02617,B02617,2021-01-13T17:07:14.000Z,2021-01-13T17:09:27.000Z,2021-01-13T17:10:20.000Z,2021-01-13T17:43:12.000Z,49,82,6.84,1972,27.87,0.0,0.84,2.47,0.0,,0.0,24.05,N,N,"",N,N,17.0,2021.0,1.0,13.0,1,3.8200016,Clinton Hill,Elmhurst
751,Uber,B02877,B02877,2021-01-10T20:08:05.000Z,2021-01-10T20:10:25.000Z,2021-01-10T20:10:25.000Z,2021-01-10T20:20:37.000Z,148,13,1.59,612,11.41,0.0,0.34,1.01,2.75,,0.0,6.88,N,N,"",N,N,20.0,2021.0,1.0,10.0,1,4.5299997,Lower East Side,Battery Park City
28,Uber,B02878,B02878,2021-01-29T08:47:16.000Z,2021-01-29T08:51:02.000Z,2021-01-29T08:51:30.000Z,2021-01-29T09:02:41.000Z,74,41,1.48,671,10.82,0.0,0.32,0.96,0.0,,0.0,7.26,N,N,"",N,N,8.0,2021.0,1.0,29.0,1,3.5599995,East Harlem North,Central Harlem
844,Uber,B02879,B02879,2021-01-07T13:49:23.000Z,2021-01-07T13:53:31.000Z,2021-01-07T13:53:59.000Z,2021-01-07T14:06:22.000Z,208,185,2.25,743,12.16,0.0,0.36,1.08,0.0,,0.0,8.7,N,N,"",N,N,13.0,2021.0,1.0,7.0,1,3.46,Schuylerville/Edgewater Park,Pelham Parkway
619,Lyft,B02510,,2021-01-13T07:47:17.000Z,,2021-01-13T07:52:55.000Z,2021-01-13T07:58:11.000Z,180,258,1.225,316,7.27,0.0,0.22,0.65,0.0,,0.0,5.47,N,N,N,N,N,7.0,2021.0,1.0,13.0,1,1.8000002,Ozone Park,Woodhaven
369,Uber,B02764,B02764,2021-01-05T14:40:34.000Z,2021-01-05T14:42:18.000Z,2021-01-05T14:42:42.000Z,2021-01-05T14:54:14.000Z,3,254,1.97,692,8.54,0.0,0.26,0.76,0.0,,0.0,7.97,N,N,"",N,N,14.0,2021.0,1.0,5.0,1,0.5700002,Allerton/Pelham Gardens,Williamsbridge/Olinville
420,Uber,B02870,B02870,2021-01-04T15:16:04.000Z,2021-01-04T15:24:26.000Z,2021-01-04T15:24:37.000Z,2021-01-04T15:32:13.000Z,51,51,2.68,456,10.51,0.0,0.32,0.93,0.0,,0.0,6.78,N,N,"",N,N,15.0,2021.0,1.0,4.0,0,3.73,Co-Op City,Co-Op City
277,Uber,B02869,B02869,2021-01-30T19:28:56.000Z,2021-01-30T19:30:11.000Z,2021-01-30T19:31:35.000Z,2021-01-30T19:39:21.000Z,210,29,1.51,466,6.1,0.0,0.18,0.54,0.0,,0.0,5.57,N,N,"",N,N,19.0,2021.0,1.0,30.0,1,0.52999973,Sheepshead Bay,Brighton Beach
105,Uber,B02889,B02889,2021-01-23T17:24:45.000Z,2021-01-23T17:26:52.000Z,2021-01-23T17:27:27.000Z,2021-01-23T17:56:24.000Z,226,169,10.33,1737,30.76,6.12,1.11,3.27,0.0,,8.25,25.93,N,N,"",N,N,17.0,2021.0,1.0,23.0,1,13.080002,Sunnyside,Mount Hope
313,Lyft,B02510,,2021-01-06T17:03:51.000Z,,2021-01-06T17:08:16.000Z,2021-01-06T17:18:09.000Z,242,208,3.102,593,12.09,0.0,0.36,1.07,0.0,,0.0,8.41,N,N,N,N,N,17.0,2021.0,1.0,6.0,1,3.6800003,Van Nest/Morris Park,Schuylerville/Edgewater Park
838,Uber,B02764,B02764,2021-01-31T14:47:10.000Z,2021-01-31T14:50:36.000Z,2021-01-31T14:51:00.000Z,2021-01-31T15:15:56.000Z,129,57,1.74,1496,11.41,0.0,0.34,1.01,0.0,,3.0,14.44,N,N,"",N,N,14.0,2021.0,1.0,31.0,1,-0.029999733,Jackson Heights,Corona
959,Lyft,B02510,,2021-01-21T14:48:41.000Z,,2021-01-21T14:53:09.000Z,2021-01-21T15:06:01.000Z,185,254,3.054,772,14.63,0.0,0.34,1.02,0.0,,0.0,9.85,N,N,N,N,N,14.0,2021.0,1.0,21.0,1,4.7799997,Pelham Parkway,Williamsbridge/Olinville
