index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
651,Uber,B02878,B02878,2021-01-28T18:44:47.000Z,2021-01-28T18:45:08.000Z,2021-01-28T18:47:09.000Z,2021-01-28T19:00:09.000Z,241,174,2.1,780,12.87,0.0,0.39,1.14,0.0,,0.0,8.85,N,N,"",N,N,18.0,2021.0,1.0,28.0,1,4.0199995,Van Cortlandt Village,Norwood
115,Lyft,B02510,,2021-01-20T23:29:45.000Z,,2021-01-20T23:33:27.000Z,2021-01-20T23:36:31.000Z,169,169,0.293,184,9.64,0.19,0.29,0.87,0.0,,0.0,5.47,N,N,N,N,N,23.0,2021.0,1.0,20.0,1,4.1700006,Mount Hope,Mount Hope
271,Uber,B02878,B02878,2021-01-05T18:31:50.000Z,2021-01-05T18:37:04.000Z,2021-01-05T18:39:07.000Z,2021-01-05T18:54:13.000Z,74,213,5.75,906,16.93,6.12,0.69,2.05,0.0,,0.0,13.93,N,N,"",N,N,18.0,2021.0,1.0,5.0,0,3.0,East Harlem North,Soundview/Castle Hill
743,Uber,B02765,B02765,2021-01-08T12:30:17.000Z,2021-01-08T12:35:35.000Z,2021-01-08T12:35:57.000Z,2021-01-08T12:43:28.000Z,89,165,1.1,451,6.33,0.0,0.19,0.56,0.0,,0.0,5.4,N,N,"",N,N,12.0,2021.0,1.0,8.0,1,0.9299998,Flatbush/Ditmas Park,Midwood
453,Uber,B02877,B02877,2021-01-01T06:00:15.000Z,2021-01-01T06:05:35.000Z,2021-01-01T06:07:35.000Z,2021-01-01T06:26:27.000Z,56,185,11.56,1132,27.31,6.12,1.0,2.97,0.0,,0.0,25.38,N,N,"",N,N,6.0,2021.0,1.0,1.0,0,1.9300003,Corona,Pelham Parkway
888,Lyft,B02510,,2021-01-13T07:50:06.000Z,,2021-01-13T07:53:53.000Z,2021-01-13T08:09:20.000Z,228,22,3.186,927,14.61,0.0,0.44,1.3,0.0,,0.0,11.29,N,N,N,N,N,7.0,2021.0,1.0,13.0,1,3.3199997,Sunset Park West,Bensonhurst West
607,Lyft,B02510,,2021-01-27T09:33:09.000Z,,2021-01-27T09:35:19.000Z,2021-01-27T09:47:33.000Z,142,162,1.442,734,13.5,0.0,0.41,1.2,2.75,,0.0,7.75,N,N,N,N,N,9.0,2021.0,1.0,27.0,1,5.75,Lincoln Square East,Midtown East
740,Lyft,B02510,,2021-01-20T07:16:18.000Z,,2021-01-20T07:23:59.000Z,2021-01-20T07:35:30.000Z,36,225,1.682,691,7.99,0.0,0.24,0.71,0.0,,0.0,7.66,N,N,N,N,N,7.0,2021.0,1.0,20.0,0,0.32999992,Bushwick North,Stuyvesant Heights
741,Uber,B02888,B02888,2021-01-15T19:35:16.000Z,2021-01-15T19:38:20.000Z,2021-01-15T19:38:40.000Z,2021-01-15T20:17:43.000Z,215,60,17.55,2343,51.95,6.12,1.74,5.15,0.0,,0.0,38.97,N,N,"",N,N,19.0,2021.0,1.0,15.0,1,12.98,South Jamaica,Crotona Park East
256,Lyft,B02510,,2021-01-17T13:46:48.000Z,,2021-01-17T13:52:29.000Z,2021-01-17T14:03:03.000Z,213,78,3.089,634,13.92,0.0,0.42,1.24,0.0,,0.0,8.74,N,N,N,N,N,13.0,2021.0,1.0,17.0,1,5.1800003,Soundview/Castle Hill,East Tremont
627,Uber,B02875,B02875,2021-01-10T00:25:51.000Z,2021-01-10T00:27:16.000Z,2021-01-10T00:28:44.000Z,2021-01-10T00:34:05.000Z,37,37,0.87,321,7.91,0.0,0.24,0.7,0.0,,0.0,5.4,N,N,"",N,N,0.0,2021.0,1.0,10.0,1,2.5099998,Bushwick South,Bushwick South
617,Lyft,B02510,,2021-01-23T10:50:36.000Z,,2021-01-23T10:52:01.000Z,2021-01-23T11:08:39.000Z,181,33,2.716,998,14.16,0.0,0.42,1.26,0.0,,0.0,11.37,N,N,N,N,N,10.0,2021.0,1.0,23.0,1,2.79,Park Slope,Brooklyn Heights
940,Uber,B02884,B02884,2021-01-20T10:42:44.000Z,2021-01-20T10:44:29.000Z,2021-01-20T10:46:29.000Z,2021-01-20T11:04:15.000Z,257,261,5.11,1066,23.85,6.12,0.9,2.66,2.75,,0.0,16.69,N,N,"",N,N,10.0,2021.0,1.0,20.0,1,7.16,Windsor Terrace,World Trade Center
203,Uber,B02875,B02875,2021-01-21T06:09:46.000Z,2021-01-21T06:12:20.000Z,2021-01-21T06:14:21.000Z,2021-01-21T06:30:41.000Z,42,263,4.38,980,18.03,0.0,0.54,1.6,2.75,,0.0,13.04,N,N,"",N,N,6.0,2021.0,1.0,21.0,1,4.9900007,Central Harlem North,Yorkville West
174,Uber,B02682,B02682,2021-01-05T09:43:06.000Z,2021-01-05T09:46:32.000Z,2021-01-05T09:46:43.000Z,2021-01-05T09:56:58.000Z,94,182,3.7,615,14.69,0.0,0.44,1.3,0.0,,0.0,9.23,N,N,"",N,N,9.0,2021.0,1.0,5.0,1,5.46,Fordham South,Parkchester
279,Lyft,B02510,,2021-01-27T18:21:41.000Z,,2021-01-27T18:24:37.000Z,2021-01-27T18:47:34.000Z,223,239,7.222,1377,27.95,5.21,0.99,2.94,2.75,,1.0,19.55,N,N,N,N,N,18.0,2021.0,1.0,27.0,1,9.400002,Steinway,Upper West Side South
173,Uber,B02866,B02866,2021-01-13T15:06:21.000Z,2021-01-13T15:10:41.000Z,2021-01-13T15:10:41.000Z,2021-01-13T15:18:40.000Z,177,225,1.37,479,8.37,0.0,0.25,0.74,0.0,,0.0,5.52,N,N,"",N,N,15.0,2021.0,1.0,13.0,1,2.85,Ocean Hill,Stuyvesant Heights
183,Uber,B02872,B02872,2021-01-19T08:48:31.000Z,2021-01-19T08:54:51.000Z,2021-01-19T08:54:57.000Z,2021-01-19T09:14:59.000Z,95,208,9.6,1202,21.19,6.12,0.82,2.42,0.0,,0.0,20.65,N,N,"",N,N,8.0,2021.0,1.0,19.0,0,0.5400009,Forest Hills,Schuylerville/Edgewater Park
58,Uber,B02864,B02864,2021-01-27T18:03:55.000Z,2021-01-27T18:09:44.000Z,2021-01-27T18:09:56.000Z,2021-01-27T18:39:21.000Z,66,22,8.17,1765,0.0,0.0,0.0,0.0,0.0,,2.0,23.79,N,N,"",N,N,18.0,2021.0,1.0,27.0,0,-21.79,DUMBO/Vinegar Hill,Bensonhurst West
260,Uber,B02872,B02872,2021-01-17T03:07:45.000Z,2021-01-17T03:10:04.000Z,2021-01-17T03:11:04.000Z,2021-01-17T03:31:35.000Z,155,35,4.42,1231,19.59,0.0,0.59,1.74,0.0,,0.0,17.49,N,N,"",N,N,3.0,2021.0,1.0,17.0,1,2.1000004,Marine Park/Mill Basin,Brownsville
509,Uber,B02875,B02875,2021-01-09T05:32:14.000Z,2021-01-09T05:35:38.000Z,2021-01-09T05:37:31.000Z,2021-01-09T05:56:44.000Z,181,137,7.06,1153,19.88,0.0,0.6,1.76,2.75,,0.0,17.44,N,N,"",N,N,5.0,2021.0,1.0,9.0,1,2.4399986,Park Slope,Kips Bay
186,Lyft,B02510,,2021-01-14T21:18:51.000Z,,2021-01-14T21:21:32.000Z,2021-01-14T21:33:26.000Z,39,91,1.925,714,8.62,0.0,0.23,0.68,0.0,,0.0,8.11,N,N,N,N,N,21.0,2021.0,1.0,14.0,1,0.5100002,Canarsie,Flatlands
