index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
599,Uber,B02864,B02864,2021-01-29T17:20:12.000Z,2021-01-29T17:24:50.000Z,2021-01-29T17:25:55.000Z,2021-01-29T17:46:48.000Z,160,198,3.02,1253,14.71,0.0,0.44,1.31,0.0,,0.0,13.82,N,N,"",N,N,17.0,2021.0,1.0,29.0,1,0.89000034,Middle Village,Ridgewood
46,Lyft,B02510,,2021-01-13T09:46:20.000Z,,2021-01-13T09:53:59.000Z,2021-01-13T10:31:25.000Z,69,232,10.845,2246,39.52,3.03,1.28,3.78,2.75,,0.0,30.85,N,N,N,N,N,9.0,2021.0,1.0,13.0,0,8.67,East Concourse/Concourse Village,Two Bridges/Seward Park
992,Lyft,B02510,,2021-01-04T06:59:48.000Z,,2021-01-04T07:05:17.000Z,2021-01-04T07:20:20.000Z,247,194,6.474,903,18.31,3.46,0.65,1.93,0.0,,0.0,14.74,N,N,N,N,N,6.0,2021.0,1.0,4.0,1,3.5699997,West Concourse,Randalls Island
43,Uber,B02836,B02836,2021-01-10T17:42:58.000Z,2021-01-10T17:45:30.000Z,2021-01-10T17:45:40.000Z,2021-01-10T17:49:18.000Z,249,90,0.78,218,8.7,0.0,0.26,0.77,2.75,,0.0,5.39,N,N,"",N,N,17.0,2021.0,1.0,10.0,1,3.31,West Village,Flatiron
552,Uber,B02872,B02872,2021-01-23T21:55:00.000Z,2021-01-23T21:57:21.000Z,2021-01-23T21:58:43.000Z,2021-01-23T22:02:30.000Z,217,217,0.55,227,7.91,0.0,0.24,0.7,0.0,,0.0,5.4,N,N,"",N,N,21.0,2021.0,1.0,23.0,1,2.5099998,South Williamsburg,South Williamsburg
927,Uber,B02864,B02864,2021-01-31T14:50:12.000Z,2021-01-31T14:50:33.000Z,2021-01-31T14:51:31.000Z,2021-01-31T15:02:21.000Z,236,164,2.48,650,20.12,0.0,0.6,1.79,2.75,,0.0,9.21,N,N,"",N,N,14.0,2021.0,1.0,31.0,1,10.910001,Upper East Side North,Midtown South
130,Uber,B02882,B02882,2021-01-14T12:07:52.000Z,2021-01-14T12:10:59.000Z,2021-01-14T12:11:42.000Z,2021-01-14T12:19:09.000Z,139,10,4.05,447,9.74,0.0,0.29,0.86,0.0,,0.0,8.21,N,N,"",N,N,12.0,2021.0,1.0,14.0,1,1.5299997,Laurelton,Baisley Park
813,Uber,B02764,B02764,2021-01-14T21:23:47.000Z,2021-01-14T21:26:07.000Z,2021-01-14T21:27:01.000Z,2021-01-14T21:38:08.000Z,39,72,2.78,667,9.34,0.0,0.28,0.83,0.0,,0.0,8.65,N,N,"",N,N,21.0,2021.0,1.0,14.0,1,0.69000053,Canarsie,East Flatbush/Remsen Village
8,Lyft,B02510,,2021-01-27T19:40:34.000Z,,2021-01-27T19:43:11.000Z,2021-01-27T19:50:29.000Z,62,189,0.826,438,7.51,0.0,0.23,0.67,0.0,,0.0,5.47,N,N,N,N,N,19.0,2021.0,1.0,27.0,1,2.0400004,Crown Heights South,Prospect Heights
571,Lyft,B02510,,2021-01-13T20:28:30.000Z,,2021-01-13T20:30:57.000Z,2021-01-13T20:39:38.000Z,232,87,1.672,521,9.0,0.0,0.27,0.8,2.75,,0.0,6.22,N,N,N,N,N,20.0,2021.0,1.0,13.0,1,2.7800002,Two Bridges/Seward Park,Financial District North
711,Uber,B02875,B02875,2021-01-20T18:18:56.000Z,2021-01-20T18:21:32.000Z,2021-01-20T18:22:02.000Z,2021-01-20T18:44:33.000Z,76,62,4.22,1351,20.65,0.0,0.62,1.83,0.0,,0.0,15.96,N,N,"",N,N,18.0,2021.0,1.0,20.0,1,4.6899996,East New York,Crown Heights South
